date,name,category,value
2012-01-01,russian,slavic,320
2012-01-01,korean,korean,91
2012-01-01,german;,other,2
2012-01-01,bulgarian,slavic,12
2012-01-01,czech,czech,106
2012-01-01,danish,nordic,44
2012-01-01,dutch,anglo,79
2012-01-01,finnish,nordic,32
2012-01-01,greek,greek,10
2012-01-01,hungarian,hungarian,56
2012-01-01,norwegian,nordic,30
2012-01-01,portuguese,latin,63
2012-01-01,portuguese - brazil,latin,43
2012-01-01,simplified chinese,chinese,69
2012-01-01,swedish,nordic,55
2012-01-01,thai,other,15
2012-01-01,traditional chinese,chinese,89
2012-01-01,turkish,turkish,34
2012-01-01,ukrainian,slavic,13
2012-01-01,spanish - latin america,latin,9
2012-01-01,#lang_français,other,1
2012-01-01,romanian,latin,12
2012-01-01,russian\r\nenglish\r\nspanish - spain\r\nfrench\r\njapanese\r\nczech,other,1
2012-01-01,english&amp;lt;strong&amp;gt;&amp;lt;/strong&amp;gt;,other,3
2012-01-01,french&amp;lt;strong&amp;gt;&amp;lt;/strong&amp;gt;,other,3
2012-01-01,italian&amp;lt;strong&amp;gt;&amp;lt;/strong&amp;gt;,other,3
2012-01-01,german&amp;lt;strong&amp;gt;&amp;lt;/strong&amp;gt;,other,3
2012-01-01,spanish - spain&amp;lt;strong&amp;gt;&amp;lt;/strong&amp;gt;,other,3
2012-01-01,korean&amp;lt;strong&amp;gt;&amp;lt;/strong&amp;gt;,other,3
2012-01-01,japanese &amp;lt;br /&amp;gt;&amp;lt;br /&amp;gt;&amp;lt;strong&amp;gt;&amp;lt;/strong&amp;gt;,other,3
2012-01-01,arabic,arabic,4
2012-01-01,traditional chinese (text only),other,1
2012-01-01,englishb/b,other,4
2012-01-01,frenchb/b,other,1
2012-01-01,italianb/b,other,1
2012-01-01,germanb/b,other,2
2012-01-01,spanish - spainb/b,other,1
2012-01-01,koreanb/b,other,1
2012-01-01,japanese \r\n\r\nb/b,other,1
2012-01-01,italian \r\n\r\nb/b,other,1
2012-01-01,english (full audio),other,3
2012-01-01,russian\r\nb/b,other,1
2012-01-01,spanish - spain\r\nb/b,other,1
2012-01-01,vietnamese,other,4
2012-01-01,slovakian,other,2
2012-01-01,english\r\nrussian\r\nspanish - spain\r\njapanese\r\nczech,other,1
2012-01-01,japanese (all with full audio support),other,1
2012-01-01,english dutch  english,other,1
2012-01-01,portuguese - portugal,other,1
2013-01-01,english,anglo,2143
2013-01-01,french,latin,1041
2013-01-01,german,anglo,1100
2013-01-01,italian,latin,877
2013-01-01,japanese,japanese,246
2013-01-01,spanish - spain,latin,929
2013-01-01,polish,other,369
2013-01-01,russian,slavic,505
2013-01-01,portuguese - brazil,latin,136
2013-01-01,\r\nfrench,other,1
2013-01-01,\r\ngerman,other,1
2013-01-01,simplified chinese,chinese,132
2013-01-01,czech,czech,148
2013-01-01,korean,korean,146
2013-01-01,german;,other,2
2013-01-01,bulgarian,slavic,17
2013-01-01,danish,nordic,65
2013-01-01,dutch,anglo,124
2013-01-01,finnish,nordic,51
2013-01-01,greek,greek,19
2013-01-01,hungarian,hungarian,95
2013-01-01,norwegian,nordic,52
2013-01-01,portuguese,latin,104
2013-01-01,swedish,nordic,82
2013-01-01,thai,other,22
2013-01-01,traditional chinese,chinese,127
2013-01-01,turkish,turkish,68
2013-01-01,ukrainian,slavic,30
2013-01-01,spanish - latin america,latin,18
2013-01-01,#lang_français,other,1
2013-01-01,romanian,latin,24
2013-01-01,arabic,arabic,15
2013-01-01,vietnamese,other,6
2013-01-01,russian\r\nenglish\r\nspanish - spain\r\nfrench\r\njapanese\r\nczech,other,1
2013-01-01,english&amp;lt;strong&amp;gt;&amp;lt;/strong&amp;gt;,other,3
2013-01-01,french&amp;lt;strong&amp;gt;&amp;lt;/strong&amp;gt;,other,3
2013-01-01,italian&amp;lt;strong&amp;gt;&amp;lt;/strong&amp;gt;,other,3
2013-01-01,german&amp;lt;strong&amp;gt;&amp;lt;/strong&amp;gt;,other,3
2013-01-01,spanish - spain&amp;lt;strong&amp;gt;&amp;lt;/strong&amp;gt;,other,3
